Alaska,ED 29,Jesse Ventura,GRN,69,False
Alaska,ED 29, Write-ins,WRI,37,False
Alaska,ED 29,Don Blankenship,CST,26,False
Alaska,ED 29,Brock Pierce,IND,10,False
Alaska,ED 29,Rocky De La Fuente,ALI,3,False
Alaska,ED 2,Donald Trump,REP,3674,True
Alaska,ED 2,Joe Biden,DEM,2104,False
Alaska,ED 2,Jo Jorgensen,LIB,287,False
Alaska,ED 2,Jesse Ventura,GRN,30,False
Alaska,ED 2, Write-ins,WRI,25,False
Alaska,ED 2,Don Blankenship,CST,18,False
Alaska,ED 2,Brock Pierce,IND,14,False
Alaska,ED 2,Rocky De La Fuente,ALI,9,False
Alaska,ED 30,Donald Trump,REP,7180,True
Alaska,ED 30,Joe Biden,DEM,2638,False
Alaska,ED 30,Jo Jorgensen,LIB,270,False
Alaska,ED 30, Write-ins,WRI,50,False
Alaska,ED 30,Jesse Ventura,GRN,42,False
Alaska,ED 30,Don Blankenship,CST,26,False
Alaska,ED 30,Brock Pierce,IND,17,False
Alaska,ED 30,Rocky De La Fuente,ALI,3,False
Alaska,ED 31,Donald Trump,REP,6971,True
Alaska,ED 31,Joe Biden,DEM,5037,False
Alaska,ED 31,Jo Jorgensen,LIB,250,False
Alaska,ED 31,Jesse Ventura,GRN,100,False
Alaska,ED 31, Write-ins,WRI,71,False
Alaska,ED 31,Don Blankenship,CST,27,False
Alaska,ED 31,Brock Pierce,IND,18,False
Alaska,ED 31,Rocky De La Fuente,ALI,7,False
Alaska,ED 32,Donald Trump,REP,4440,True
Alaska,ED 32,Joe Biden,DEM,3506,False
Alaska,ED 32,Jo Jorgensen,LIB,238,False
Alaska,ED 32,Jesse Ventura,GRN,105,False
Alaska,ED 32, Write-ins,WRI,26,False
Alaska,ED 32,Don Blankenship,CST,21,False
Alaska,ED 32,Brock Pierce,IND,21,False
Alaska,ED 32,Rocky De La Fuente,ALI,4,False
Alaska,ED 33,Joe Biden,DEM,7535,True
Alaska,ED 33,Donald Trump,REP,3059,False
Alaska,ED 33,Jo Jorgensen,LIB,197,False
Alaska,ED 33,Jesse Ventura,GRN,103,False
Alaska,ED 33, Write-ins,WRI,61,False
Alaska,ED 33,Don Blankenship,CST,27,False
Alaska,ED 33,Brock Pierce,IND,25,False
Alaska,ED 33,Rocky De La Fuente,ALI,9,False
Alaska,ED 34,Joe Biden,DEM,5763,True
Alaska,ED 34,Donald Trump,REP,4543,False
Alaska,ED 34,Jo Jorgensen,LIB,279,False
Alaska,ED 34,Jesse Ventura,GRN,68,False
Alaska,ED 34, Write-ins,WRI,65,False
Alaska,ED 34,Don Blankenship,CST,36,False
Alaska,ED 34,Brock Pierce,IND,34,False
Alaska,ED 34,Rocky De La Fuente,ALI,6,False
Alaska,ED 35,Joe Biden,DEM,5011,True
Alaska,ED 35,Donald Trump,REP,4769,False
Alaska,ED 35,Jo Jorgensen,LIB,170,False
Alaska,ED 35,Jesse Ventura,GRN,95,False
Alaska,ED 35, Write-ins,WRI,47,False
Alaska,ED 35,Don Blankenship,CST,35,False
Alaska,ED 35,Brock Pierce,IND,16,False
Alaska,ED 35,Rocky De La Fuente,ALI,6,False
Alaska,ED 36,Donald Trump,REP,5114,True
Alaska,ED 36,Joe Biden,DEM,3796,False
Alaska,ED 36,Jo Jorgensen,LIB,245,False
Alaska,ED 36,Jesse Ventura,GRN,79,False
Alaska,ED 36,Don Blankenship,CST,30,False
Alaska,ED 36,Brock Pierce,IND,20,False
Alaska,ED 36,Rocky De La Fuente,ALI,8,False
Alaska,ED 36, Write-ins,WRI,0,False
Alaska,ED 37,Joe Biden,DEM,2560,True
Alaska,ED 37,Donald Trump,REP,2358,False
Alaska,ED 37,Jo Jorgensen,LIB,86,False
Alaska,ED 37,Jesse Ventura,GRN,56,False
Alaska,ED 37,Don Blankenship,CST,51,False
Alaska,ED 37, Write-ins,WRI,26,False
Alaska,ED 37,Brock Pierce,IND,17,False
Alaska,ED 37,Rocky De La Fuente,ALI,14,False
Alaska,ED 38,Joe Biden,DEM,3202,True
Alaska,ED 38,Donald Trump,REP,1737,False
Alaska,ED 38,Jesse Ventura,GRN,112,False
Alaska,ED 38,Jo Jorgensen,LIB,105,False
Alaska,ED 38,Brock Pierce,IND,61,False
Alaska,ED 38,Don Blankenship,CST,52,False
Alaska,ED 38,Rocky De La Fuente,ALI,30,False
Alaska,ED 38, Write-ins,WRI,0,False
Alaska,Nome Census Area,Joe Biden,DEM,3580,True
Alaska,Nome Census Area,Donald Trump,REP,1939,False
Alaska,Nome Census Area,Jo Jorgensen,LIB,123,False
Alaska,Nome Census Area,Jesse Ventura,GRN,104,False
Alaska,Nome Census Area,Don Blankenship,CST,80,False
Alaska,Nome Census Area,Brock Pierce,IND,45,False
Alaska,Nome Census Area, Write-ins,WRI,39,False
Alaska,Nome Census Area,Rocky De La Fuente,ALI,20,False
Alaska,ED 3,Donald Trump,REP,6076,True
Alaska,ED 3,Joe Biden,DEM,1903,False
Alaska,ED 3,Jo Jorgensen,LIB,316,False
Alaska,ED 3,Jesse Ventura,GRN,42,False
Alaska,ED 3,Don Blankenship,CST,27,False
Alaska,ED 3,Brock Pierce,IND,13,False
Alaska,ED 3,Rocky De La Fuente,ALI,8,False
Alaska,North Slope Borough,Joe Biden,DEM,2318,True
Alaska,North Slope Borough,Donald Trump,REP,1994,False
Alaska,North Slope Borough,Jo Jorgensen,LIB,94,False
Alaska,North Slope Borough,Jesse Ventura,GRN,86,False
Alaska,North Slope Borough,Don Blankenship,CST,47,False
Alaska,North Slope Borough,Brock Pierce,IND,39,False
Alaska,North Slope Borough,Rocky De La Fuente,ALI,25,False
Alaska,North Slope Borough, Write-ins,WRI,25,False
Alaska,ED 4,Joe Biden,DEM,5345,True
Alaska,ED 4,Donald Trump,REP,4690,False
Alaska,ED 4,Jo Jorgensen,LIB,323,False
Alaska,ED 4,Jesse Ventura,GRN,93,False
Alaska,ED 4, Write-ins,WRI,76,False
Alaska,ED 4,Brock Pierce,IND,29,False
Alaska,ED 4,Don Blankenship,CST,27,False
Alaska,ED 4,Rocky De La Fuente,ALI,4,False
Alaska,ED 5,Joe Biden,DEM,4204,True
Alaska,ED 5,Donald Trump,REP,4077,False
Alaska,ED 5,Jo Jorgensen,LIB,259,False
Alaska,ED 5,Jesse Ventura,GRN,68,False
Alaska,ED 5, Write-ins,WRI,52,False
Alaska,ED 5,Don Blankenship,CST,21,False
Alaska,ED 5,Brock Pierce,IND,17,False
Alaska,ED 5,Rocky De La Fuente,ALI,8,False
Alaska,ED 6,Donald Trump,REP,5770,True
Alaska,ED 6,Joe Biden,DEM,3272,False
Alaska,ED 6,Jo Jorgensen,LIB,266,False
Alaska,ED 6,Jesse Ventura,GRN,83,False
Alaska,ED 6, Write-ins,WRI,58,False
Alaska,ED 6,Don Blankenship,CST,33,False
Alaska,ED 6,Brock Pierce,IND,31,False
Alaska,ED 6,Rocky De La Fuente,ALI,5,False
Alaska,ED 7,Donald Trump,REP,7027,True
Alaska,ED 7,Joe Biden,DEM,2215,False
Alaska,ED 7,Jo Jorgensen,LIB,272,False
Alaska,ED 7,Jesse Ventura,GRN,54,False
Alaska,ED 7, Write-ins,WRI,42,False
Alaska,ED 7,Don Blankenship,CST,36,False
Alaska,ED 7,Brock Pierce,IND,13,False
Alaska,ED 7,Rocky De La Fuente,ALI,5,False
Alaska,ED 8,Donald Trump,REP,7618,True
Alaska,ED 8,Joe Biden,DEM,1953,False
Alaska,ED 8,Jo Jorgensen,LIB,241,False
Alaska,ED 8,Jesse Ventura,GRN,48,False
Alaska,ED 8, Write-ins,WRI,45,False
Alaska,ED 8,Don Blankenship,CST,28,False
Alaska,ED 8,Brock Pierce,IND,18,False
Alaska,ED 8,Rocky De La Fuente,ALI,6,False
Alaska,ED 9,Donald Trump,REP,7787,True
Alaska,ED 9,Joe Biden,DEM,2769,False
Alaska,ED 9,Jo Jorgensen,LIB,301,False
Alaska,ED 9,Jesse Ventura,GRN,77,False
Alaska,ED 9, Write-ins,WRI,54,False
Alaska,ED 9,Don Blankenship,CST,39,False
Alaska,ED 9,Brock Pierce,IND,16,False
Alaska,ED 9,Rocky De La Fuente,ALI,4,False
